"CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","SD01","SD02_01","SD08","SD08_01","DS01_01","DS01_02","DS01_03","DS01_04","DS01_05","DS01_07","DS01_06","MI01_01","MI02_01","MI03_01","MI03_02","MI04_03","MI05_01","MI05_02","MI07_01","MI09_01","MI10_01","MI14_02","ST01_01","ST01_02","ST01_03","ST01_04","ST01_05","ST01_06","ST01_07","ST01_08","ST02_01","ST02_02","ST02_03","ST02_04","ST02_05","ST03_01","ST03_02","ST03_03","ST03_04","ST03_05","ST03_06","ST03_07","ST03_08","ST04_01","ST04_02","ST04_03","ST04_04","ST04_05","ST04_06","ST04_07","UQ01","UQ01x01","UQ01x02","UQ01x03","UQ01x04","UQ01x05","PL01_01","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME"
79,,,"smartphone_EN","interview",2022-06-05 12:06:10,1,23,1,2,4,4,4,3,4,1,3,1,5,4,5,1,5,4,5,5,3,1,2,5,5,5,1,3,4,5,4,5,5,5,4,3,1,5,2,5,4,5,4,3,5,1,2,5,2,1,5,"How big is the storage?","What is the camera quality like?","How long is the battery life?","Will it fit in my jeans pocket?","How many photos does it store?","5f7f466a83fbad0b6a4ccb15",18,10,99,34,84,846,78,163,583,,2022-06-05 12:28:22,1,0,8,8,0,0,0.47,1
80,,,"smartphone_EN","interview",2022-06-05 12:06:54,1,40,1,2,4,4,4,3,3,1,3,2,4,3,4,4,4,4,4,5,3,1,3,4,3,5,2,4,5,5,5,4,4,4,5,2,2,3,3,4,4,5,1,5,5,5,5,5,3,3,5,"Do you have phones with extra storage?","Do you have phones in various colours?","Which phone has the best camera specs?","Which phones have intuitive controls?","Which are the smallest smartphones?","54b27d32fdf99b5b3070dd80",9,9,40,28,26,128,52,43,335,,2022-06-05 12:12:29,1,0,8,8,0,0,0.9,2
81,,,"smartphone_EN","interview",2022-06-05 12:07:33,2,35,1,2,3,3,4,2,4,1,2,2,4,4,4,5,4,5,5,5,4,1,2,5,5,3,4,5,5,5,5,2,2,4,5,5,5,3,4,5,5,5,1,4,5,4,5,5,5,5,5,"How long is the battery life?","How does the camera compare to other phones?","Is it water and dust-proof?","Is there a warranty?","Hows is the performance?","5c5df997d7b842000156544f",13,19,43,30,38,102,44,39,328,,2022-06-05 12:13:01,1,0,8,8,0,0,0.78,0
82,,,"smartphone_EN","interview",2022-06-05 12:07:59,1,47,1,2,5,5,5,3,3,1,2,1,5,3,5,3,5,5,3,5,3,1,4,4,3,5,5,5,5,5,5,3,3,4,4,,5,4,5,5,5,5,3,5,5,5,5,5,5,,5,"How much memory does it have?","How fast is it?","How big is it (size)?","What operating system does it run, and what version?","How much does it cost?","5fb28beac95e4c889a5e63b2",20,13,26,22,23,69,37,30,240,,2022-06-05 12:11:59,1,0,8,8,0,0,1.06,8
83,,,"smartphone_EN","interview",2022-06-05 12:08:11,1,34,1,2,5,5,5,1,2,1,2,1,5,4,4,1,5,5,1,4,3,1,4,5,4,5,2,5,5,5,5,4,4,4,5,5,1,5,2,5,5,5,5,5,5,5,5,5,5,,3,"Whats the memory size? I take alot of photos and videos of my family.<br>","Is the front camera as good as the back?","How is the camera in low light? ",,,"6149d2b090ac6dd92c95b9d4",14,8,52,42,41,185,48,47,437,,2022-06-05 12:15:28,1,0,8,8,0,0,0.74,2
84,,,"smartphone_EN","interview",2022-06-05 12:08:20,2,34,1,2,4,4,4,4,4,1,4,4,3,5,4,4,4,3,4,3,3,1,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,"battery life","size of phone","camera quality",,,"611ceae6cc4047f40f350c53",5,10,95,364,19,71,30,16,270,,2022-06-05 12:18:30,1,0,8,8,0,0,1.2,20
85,,,"smartphone_EN","interview",2022-06-05 12:08:32,1,26,1,2,4,4,4,2,3,1,3,2,2,5,4,3,5,4,3,4,3,1,2,4,3,4,2,2,4,5,5,4,4,3,5,1,1,3,1,4,2,5,4,4,3,5,1,1,4,1,4,"Do you have a phone which will not break easily?","Do you have a phone which is waterproof?","Do you have a phone which has a good warranty?","Do you have a phone which is easy to use?",,"607b1af9f172f82d1e495271",7,14,27,22,21,84,34,32,241,,2022-06-05 12:12:33,1,0,8,8,0,0,1.13,8
86,,,"smartphone_EN","interview",2022-06-05 12:09:09,1,43,1,2,3,3,3,4,4,1,3,2,5,5,3,1,4,4,1,4,3,1,2,5,4,5,3,5,5,5,5,3,2,5,5,3,1,2,1,5,3,5,3,4,5,5,5,5,3,3,5,"What is the expected battery life?","How much nternal storage is there?","How heavy is the phone?","Can the phone be voice activiated","What are the camera specifications? ","5a6cef05d5d4cb0001d668e7",10,9,55,26,35,128,41,51,355,,2022-06-05 12:15:05,1,0,8,8,0,0,0.85,1
87,,,"smartphone_EN","interview",2022-06-05 12:09:18,1,24,1,2,5,5,4,3,4,1,3,5,5,5,4,3,4,5,5,5,5,1,3,5,4,4,1,4,5,5,5,4,3,4,5,4,,4,2,4,3,5,5,5,5,5,5,5,3,,4,"How fast is the Data Speed?","How much GB does this hold?","Does this phone provide good signal?","What sort of data plan are available?",,"60fd20c463d09c7b7c3fec1f",66,11,84,81,63,788,82,86,512,,2022-06-05 12:30:19,1,0,8,8,0,0,0.41,0
88,,,"smartphone_EN","interview",2022-06-05 12:10:09,1,23,1,2,5,3,5,2,2,1,1,1,5,3,3,2,5,5,5,5,3,1,1,5,5,5,5,5,5,5,5,3,3,3,5,5,3,4,3,5,5,5,5,5,5,5,5,5,3,3,5,"What is the battery life like?","What year was it released?","How much does it cost?","How easily can it be fixed if it is ever damaged?","What is the phone's storage?","607c3abee7460a09186f93d7",13,27,80,52,45,127,38,36,418,,2022-06-05 12:17:07,1,0,8,8,0,0,0.67,0
89,,,"smartphone_EN","interview",2022-06-05 12:11:14,1,33,1,2,5,4,4,3,3,1,4,2,4,5,2,1,5,4,1,4,3,1,3,5,5,4,3,4,5,5,5,5,4,2,5,3,1,4,1,5,3,5,4,5,5,4,4,5,3,2,5,"How long is the contact for?","What does it come with? Heaphones, Disney+ membership etc","What is the price?","Is it waterproof?","Does it come with a warranty? If so how long?","603c03a28512c295187c1891",4,14,55,25,31,169,39,37,374,,2022-06-05 12:17:28,1,0,8,8,0,0,0.98,6
90,,,"smartphone_EN","interview",2022-06-05 12:11:51,2,53,1,2,3,3,3,2,3,1,2,4,4,3,4,1,3,3,1,3,5,1,2,5,4,3,3,5,5,5,4,5,3,4,5,5,4,4,4,4,4,5,4,4,5,5,5,5,4,,5,"does it have a good battery life","does it have a good camera","is it easy to repair","does it have dual sim","has it been made using ethically sourced materials?","5eed0834b681b011050d77e6",4,10,32,20,34,83,35,40,258,,2022-06-05 12:16:09,1,0,8,8,0,0,1.17,10
91,,,"smartphone_EN","interview",2022-06-05 12:11:59,1,55,1,2,5,5,5,2,2,1,2,1,4,3,3,4,5,5,4,5,5,1,2,5,1,4,1,5,5,5,5,3,3,3,5,1,1,5,5,5,3,5,3,4,5,2,3,4,2,2,3,"What is the battery life on the smartphone.","Does the smartphone have a good camera.","What is the price?",,,"5d55a0f63af827001981b8d6",7,11,23,31,36,68,43,36,255,,2022-06-05 12:16:14,1,0,8,8,0,0,1.06,6
92,,,"smartphone_EN","interview",2022-06-05 12:12:02,1,40,1,2,4,4,4,3,4,1,2,2,3,5,5,2,4,5,1,2,5,1,1,5,1,5,1,1,5,5,5,3,3,4,5,2,1,1,1,1,1,5,3,3,5,5,5,5,3,1,4,"What is the camera quality like?","How long does the battery charge last?","Is the phone waterproof?<br>","How much is a screen replacement?",,"5ab80ed547a9f7000153a3bf",7,10,17,21,17,51,32,30,185,,2022-06-05 12:15:07,1,0,8,8,0,0,1.41,21
93,,,"smartphone_EN","interview",2022-06-05 12:12:48,1,61,1,2,4,4,4,3,4,1,3,3,4,3,3,2,4,3,3,4,2,1,2,3,2,3,1,4,4,5,4,2,2,4,4,3,2,2,2,2,2,4,2,3,3,3,4,3,3,2,5,"how easy is it to use","can I set alarms easily, use photos and find them easily, surf the internet easily","how fast is it","how big is it - will it fit in my pocket easily","will it last","6040968fbace9b2bac7b21bd",14,12,27,16,21,89,34,38,251,,2022-06-05 12:16:59,1,0,8,8,0,0,1.09,8
94,,,"smartphone_EN","interview",2022-06-05 12:13:34,1,52,1,2,4,4,4,3,3,1,4,1,4,5,5,1,4,5,2,3,5,1,1,5,3,4,1,3,5,5,5,5,3,4,5,4,,3,4,5,4,5,4,5,5,5,4,4,3,2,5,"I need a good camera for business and personal ","Ease of use. Is it easy to use? Is the functionality good?","Battery life. Does it have a good battery?","Will it sync easily with my other devices?","Cost. Is it affordable for me?","5d21c97b1eae150018e77606",28,15,35,21,41,172,39,44,395,,2022-06-05 12:20:09,1,0,8,8,0,0,0.77,1
95,,,"smartphone_EN","interview",2022-06-05 12:14:00,1,35,1,2,4,4,4,2,2,1,3,2,5,4,4,2,4,4,2,4,4,1,1,5,5,5,2,5,5,5,5,1,2,4,4,1,1,4,4,5,4,5,4,5,5,1,5,5,1,3,3,"What kind of battery life can I expect with this phone?","Do you have any mid range priced phones?","What are the benefits to choosing this phone?",,,"5c2e9e4b9396d000016214de",10,7,23,19,23,90,36,38,246,,2022-06-05 12:18:07,1,0,8,8,0,0,1.17,10
